"SourceFile";"FileName";"CreateDate";"GPSPosition";"newfilename";"lon";"lat";"Ano";"Mes";"Dia";"Hora";"Min";"Seg";"filepath"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_095140_dri_mal_001.jpg";"20171123_095140_dri_mal_001.jpg";"2017:11:23 09:51:40";"42.9484333888889 -9.06150602777778";"20171123_095140_dri_mal_001.jpg";-9,0615;42,94843;"2017";"11";"23";"09";"51";"40";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_095140_dri_mal_001.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_095145_dri_mal_002.jpg";"20171123_095145_dri_mal_002.jpg";"2017:11:23 09:51:45";"42.9484487777778 -9.06149444444444";"20171123_095145_dri_mal_002.jpg";-9,06149;42,94844;"2017";"11";"23";"09";"51";"45";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_095145_dri_mal_002.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_095810_dri_mal_003.jpg";"20171123_095810_dri_mal_003.jpg";"2017:11:23 09:58:10";"42.9472483055556 -9.06033997222222";"20171123_095810_dri_mal_003.jpg";-9,06033;42,94724;"2017";"11";"23";"09";"58";"10";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_095810_dri_mal_003.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_095813_dri_mal_004.jpg";"20171123_095813_dri_mal_004.jpg";"2017:11:23 09:58:13";"42.9472583333333 -9.06033372222222";"20171123_095813_dri_mal_004.jpg";-9,06033;42,94725;"2017";"11";"23";"09";"58";"13";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_095813_dri_mal_004.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_095817_dri_mal_005.jpg";"20171123_095817_dri_mal_005.jpg";"2017:11:23 09:58:17";"42.9472790277778 -9.06032175";"20171123_095817_dri_mal_005.jpg";-9,06032;42,94727;"2017";"11";"23";"09";"58";"17";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_095817_dri_mal_005.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_100547_dri_mal_006.jpg";"20171123_100547_dri_mal_006.jpg";"2017:11:23 10:05:47";"42.9463362777778 -9.05880916666667";"20171123_100547_dri_mal_006.jpg";-9,0588;42,94633;"2017";"11";"23";"10";"05";"47";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_100547_dri_mal_006.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_100552_dri_mal_007.jpg";"20171123_100552_dri_mal_007.jpg";"2017:11:23 10:05:52";"42.9463378333333 -9.05880194444445";"20171123_100552_dri_mal_007.jpg";-9,0588;42,94633;"2017";"11";"23";"10";"05";"52";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_100552_dri_mal_007.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_101344_dri_mal_008.jpg";"20171123_101344_dri_mal_008.jpg";"2017:11:23 10:13:44";"42.9452329444444 -9.05743141666667";"20171123_101344_dri_mal_008.jpg";-9,05743;42,94523;"2017";"11";"23";"10";"13";"44";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_101344_dri_mal_008.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_101349_dri_mal_009.jpg";"20171123_101349_dri_mal_009.jpg";"2017:11:23 10:13:49";"42.9452445277778 -9.05739480555556";"20171123_101349_dri_mal_009.jpg";-9,05739;42,94524;"2017";"11";"23";"10";"13";"49";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_101349_dri_mal_009.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_102115_dri_mal_010.jpg";"20171123_102115_dri_mal_010.jpg";"2017:11:23 10:21:15";"42.9440484166667 -9.05613011111111";"20171123_102115_dri_mal_010.jpg";-9,05613;42,94404;"2017";"11";"23";"10";"21";"15";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_102115_dri_mal_010.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_102119_dri_mal_011.jpg";"20171123_102119_dri_mal_011.jpg";"2017:11:23 10:21:19";"42.9440576666667 -9.05613383333333";"20171123_102119_dri_mal_011.jpg";-9,05613;42,94405;"2017";"11";"23";"10";"21";"19";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_102119_dri_mal_011.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_102900_dri_mal_012.jpg";"20171123_102900_dri_mal_012.jpg";"2017:11:23 10:29:00";"42.9428146388889 -9.05504158333333";"20171123_102900_dri_mal_012.jpg";-9,05504;42,94281;"2017";"11";"23";"10";"29";"00";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_102900_dri_mal_012.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_102904_dri_mal_013.jpg";"20171123_102904_dri_mal_013.jpg";"2017:11:23 10:29:04";"42.9428074166667 -9.05503972222222";"20171123_102904_dri_mal_013.jpg";-9,05503;42,9428;"2017";"11";"23";"10";"29";"04";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_102904_dri_mal_013.jpg"
"C:/Users/cac/Dropbox/AdantiaTools/03_ActaTool/Seguimiento01/Fotos/1/20171123_103638_dri_mal_014.jpg";"20171123_103638_dri_mal_014.jpg";"2017:11:23 10:36:38";"42.9415151111111 -9.05388702777778";"20171123_103638_dri_mal_014.jpg";-9,05388;42,94151;"2017";"11";"23";"10";"36";"38";"C:\Users\cac\Dropbox\AdantiaTools\03_ActaTool\Seguimiento01\Fotos\1\20171123_103638_dri_mal_014.jpg"
