"Cod_aero";"Aero";"Cod_parque";"minTime";"maxTime";"tiempo_s";"len";"tecnico";"filepath"
"0902";"09";"PLGA";"2016-11-17 09:55:58";"2016-11-17 09:58:33";155;185,040678803516;"798";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479372953798.gpx"
"0861";"23";"PAGU";"2016-11-17 10:42:30";"2016-11-17 10:46:49";259;301,047081279766;"010";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479375745010.gpx"
"0863";"25";"PAGU";"2016-11-17 10:51:36";"2016-11-17 10:55:01";205;113,885718716454;"044";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479376291044.gpx"
"0865";"27";"PAGU";"2016-11-17 10:58:42";"2016-11-17 11:02:15";213;87,8847266592632;"089";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479376717089.gpx"
"0867";"29";"PAGU";"2016-11-17 11:05:23";"2016-11-17 11:09:03";220;102,084535826151;"277";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479377118277.gpx"
"0869";"31";"PAGU";"2016-11-17 11:10:59";"2016-11-17 11:14:12";193;84,9972301536953;"743";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479377456743.gpx"
"0871";"33";"PAGU";"2016-11-17 11:19:50";"2016-11-17 11:22:20";150;71,8516467606026;"489";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479377987489.gpx"
"0873";"35";"PAGU";"2016-11-17 11:26:52";"2016-11-17 11:30:24";212;173,571828512146;"529";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479378407529.gpx"
"0875";"37";"PAGU";"2016-11-17 11:34:01";"2016-11-17 11:37:03";182;147,869036719432;"815";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479378836815.gpx"
"0877";"39";"PAGU";"2016-11-17 11:42:59";"2016-11-17 11:46:16";197;93,3655746081168;"921";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479379374921.gpx"
